TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
AAA,1/3/2017,24,24.85,24,24.6,69408
AAA,1/4/2017,25.2,25.4,24.5,24.9,74077
AAA,1/5/2017,25,25.4,23.85,25.4,105702
AAA,1/6/2017,25,25.05,24,24.5,82301
AAA,1/9/2017,24.5,26.2,24.1,26,77744
AAA,1/10/2017,25.1,25.9,24.6,25.2,103205
AAA,1/11/2017,25.2,25.2,24.55,24.95,84040
AAA,1/12/2017,24.95,25.2,24.2,25.2,87604
AAA,1/13/2017,24.7,24.8,24.1,24.8,161260
AAA,1/16/2017,24.5,24.5,23.5,23.5,77965
AAA,1/17/2017,23.75,25,23,25,86076
AAA,1/18/2017,23.5,24.5,23.25,23.25,265113
AAA,1/19/2017,23.25,23.8,23.25,23.7,74753
AAA,1/20/2017,23.3,23.3,22.65,22.7,134530
AAA,1/23/2017,22.65,23.15,22.65,22.65,57081
AAA,1/24/2017,22.55,22.65,21.6,21.8,97015
AAA,1/25/2017,21.85,22.15,21.8,21.9,132125
AAA,2/2/2017,21.9,23.4,21.9,23.4,108903
AAA,2/3/2017,23.5,24.1,23.05,23.35,113196
AAA,2/6/2017,23.6,23.95,23.45,23.7,78613
AAA,2/7/2017,23.8,24.15,23.4,23.9,130850
AAA,2/8/2017,23.9,24,23.6,23.6,79262
AAA,2/9/2017,23.6,23.65,23.35,23.45,44947
AAA,2/10/2017,23.45,23.55,23.1,23.55,59891
AAA,2/13/2017,23.75,24.8,23.55,24.65,100181
AAA,2/14/2017,24.9,25.55,24.85,25.2,148173
AAA,2/15/2017,25.35,26.1,25.3,25.9,125776
AAA,2/16/2017,26.2,26.6,25.1,25.1,127242
AAA,2/17/2017,25.2,26,25.1,26,118083
AAA,2/20/2017,26.6,27.4,26.35,26.8,154570
AAA,2/21/2017,26.95,26.95,26.3,26.5,120848
AAA,2/22/2017,26.5,26.8,26.2,26.3,131171
AAA,2/23/2017,26.3,26.85,26.3,26.5,155078
AAA,2/24/2017,26.5,26.6,26.1,26.25,87751
AAA,2/27/2017,26.2,26.3,25.7,25.8,83641
AAA,2/28/2017,25.9,26.1,25,25,145191
AAA,3/1/2017,24.8,25.6,24.8,25.2,128538
AAA,3/2/2017,25.5,26.3,25.25,26.05,107061
AAA,3/3/2017,26.2,26.8,26.1,26.55,156496
AAA,3/6/2017,26.3,26.4,25.6,25.8,162010
AAA,3/7/2017,26,26.15,25.8,25.85,107960
AAA,3/8/2017,25.85,25.85,25,25,162872
AAA,3/9/2017,25,25.7,24.4,25.4,133796
AAA,3/10/2017,25.5,25.5,25.05,25.05,45614
AAA,3/13/2017,24.9,24.9,24.45,24.45,135156
